,Node_1,lat,lon,Node_2,lat,lon
303,175054406,56.8259774,60.5920769,220647808,56.8236127,60.5929523
304,176567986,56.8355739,60.5457665,176537731,56.8363159,60.5469381
305,412356841,56.8260248,60.5437368,192082991,56.8259016,60.5437114
306,412356840,56.8265693,60.543884,412356841,56.8260248,60.5437368
307,412359791,56.8222033,60.5716146,412359792,56.822446,60.5722287
308,1071128522,56.849152,60.6207489,915838100,56.8496085,60.6267414
309,175131768,56.8368666,60.5880174,220643321,56.8366168,60.5881098
310,220643321,56.8366168,60.5881098,176277597,56.832843,60.5895165
311,176277597,56.832843,60.5895165,220646593,56.8298154,60.5906443
312,220646593,56.8298154,60.5906443,846540106,56.8267168,60.5917986
313,4321693014,56.8379175,60.5768239,3498419467,56.835963,60.5774856
314,176603009,56.8321017,60.5183707,176603002,56.8320851,60.5257965
315,176134377,56.8620975,60.6263868,176134383,56.8622445,60.6326305
316,176133255,56.8613001,60.6246661,412351964,56.857722,60.6304096
317,2861412235,56.8053459,60.6082818,686271225,56.8055233,60.610287
318,2861412235,56.8053459,60.6082818,412413113,56.8047663,60.6025626
319,175048165,56.8271012,60.6024131,1387234850,56.8271396,60.6028124
320,1387234850,56.8271396,60.6028124,2908690121,56.827126,60.6033267
321,220464469,56.8307346,60.636106,220464473,56.8310093,60.6391143
322,412457857,56.8417377,60.5706752,414402702,56.8398053,60.5700094
323,412457842,56.8419345,60.573382,412457934,56.8445561,60.5732756
324,412457934,56.8445561,60.5732756,2374550816,56.8430828,60.5829541
325,2374550816,56.8430828,60.5829541,175136133,56.8430407,60.5830614
326,212609464,56.8305307,60.6010916,176144588,56.8307796,60.6009977
327,410402587,56.8294346,60.6239446,360181861,56.8291979,60.6218225
328,412477811,56.8384755,60.6050235,1352399340,56.8383566,60.6037654
329,192224757,56.8381011,60.6013411,1585537475,56.8379327,60.5998546
330,413554851,56.8329602,60.5832555,176201780,56.8320888,60.5835009
331,176203297,56.8228968,60.5865779,911637628,56.8217853,60.5869771
332,176624355,56.816985,60.5636736,1300350562,56.8182858,60.5652408
333,176567986,56.8355739,60.5457665,2324428090,56.8320442,60.5450983
334,175031576,56.8356833,60.5621637,175036077,56.8356925,60.5618977
335,412496968,56.8399651,60.5626275,412496987,56.8429804,60.562673
336,412496920,56.8429851,60.56241,412496938,56.8399753,60.5623669
337,412496987,56.8429804,60.562673,175031590,56.8465384,60.5609536
338,241919962,56.8580661,60.5489771,652693864,56.8577926,60.5525816
339,412516656,56.8104872,60.5365199,412516638,56.8127646,60.5393662
340,412539987,56.8272024,60.5217806,829997085,56.8274074,60.517852
341,176134395,56.8608679,60.6533735,418998752,56.8629238,60.6531521
342,179413468,56.8651712,60.652881,435290121,56.8670812,60.6526831
343,409773017,56.8542477,60.6364088,1507014289,56.8546021,60.6372175
344,179413468,56.8651712,60.652881,875617109,56.8662346,60.6431843
345,175078842,56.8718147,60.5204986,175078710,56.8713467,60.5199366
346,412820513,56.8654457,60.5501223,175036128,56.8654387,60.5498257
347,176132470,56.8574265,60.6149621,176132475,56.8576721,60.6172574
348,176132475,56.8576721,60.6172574,176132477,56.858161,60.6185201
349,179399586,56.8068358,60.5922162,5107229778,56.8067422,60.592277
350,5107229778,56.8067422,60.592277,5107229795,56.8064708,60.5923763
351,413554851,56.8329602,60.5832555,795997487,56.833977,60.5828391
352,1645456330,56.8532154,60.6457798,341979449,56.8505889,60.6476702
353,413771080,56.8740577,60.55684,413771094,56.8748613,60.5583515
354,416547560,56.8759075,60.5537879,192290906,56.8797246,60.5498484
355,192290906,56.8797246,60.5498484,192290883,56.8875178,60.5373829
356,412413113,56.8047663,60.6025626,414443319,56.80771,60.6014589
357,414443319,56.80771,60.6014589,414443365,56.8125932,60.599908
358,241924526,56.8572843,60.5424812,414574792,56.857863,60.5306951
359,241924526,56.8572843,60.5424812,414575548,56.8541396,60.5470285
360,414576431,56.8454839,60.5554615,414576434,56.8454714,60.5616131
361,176533525,56.8395307,60.5540675,426476029,56.8375726,60.5535252
362,175031572,56.8300511,60.5617096,175031574,56.83297,60.5619018
363,421328834,56.8253019,60.5615851,421328838,56.8226678,60.5610721
364,175054394,56.825243,60.5671039,513530361,56.8254697,60.5622381
365,415263358,56.8263581,60.4806012,415263359,56.8260547,60.4803271
366,175332987,56.8263607,60.4849374,415263358,56.8263581,60.4806012
